"FRA categories (code)","FRA categories","Year","Country (code)","Country","Value","Flag"
"3","Other wooded land","2005","165","Republic of Moldova","66",""
"3","Other wooded land","2005","152","Romania","352",""
"3","Other wooded land","2005","96","Qatar","0.5",""
"3","Other wooded land","2005","106","Republic of Korea","0",""
"3","Other wooded land","2005","25","Réunion","54",""
"3","Other wooded land","2005","18","Saint Helena","0",""
"3","Other wooded land","2005","166","Russian Federation","73169.1",""
"3","Other wooded land","2005","10","Rwanda","61",""
"3","Other wooded land","2005","212","Peru","22132",""
"3","Other wooded land","2005","84","Philippines","8400",""
"3","Other wooded land","2005","118","Papua New Guinea","4474",""
"3","Other wooded land","2005","211","Paraguay","0",""
"3","Other wooded land","2005","141","Portugal","155",""
"3","Other wooded land","2005","7665786","Puerto Rico","0",""
"3","Other wooded land","2005","7661984","Pitcairn","0.5",""
"3","Other wooded land","2005","150","Poland","0",""
"3","Other wooded land","2005","6008","Occupied Palestinian Territory","0",""
"3","Other wooded land","2005","126","Norway","2701",""
"3","Other wooded land","2005","5293394","Northern Mariana Islands","0",""
"3","Other wooded land","2005","643000372","Norfolk Island","0",""
"3","Other wooded land","2005","178","Panama","973",""
"3","Other wooded land","2005","5294032","Palau","0",""
"3","Other wooded land","2005","36","Pakistan","1389",""
"3","Other wooded land","2005","95","Oman","1303",""
"3","Other wooded land","2005","124","New Zealand","2557",""
"3","Other wooded land","2005","115","New Caledonia","371",""
"3","Other wooded land","2005","194","Netherlands Antilles","32.69",""
"3","Other wooded land","2005","140","Netherlands","0",""
"3","Other wooded land","2005","116","Niue","0",""
"3","Other wooded land","2005","1","Nigeria","5495",""
"3","Other wooded land","2005","70","Niger","3740",""
"3","Other wooded land","2005","177","Nicaragua","2219",""
"3","Other wooded land","2005","643000290","Montenegro","175",""
"3","Other wooded land","2005","193","Montserrat","1.6",""
"3","Other wooded land","2005","57","Morocco","630",""
"3","Other wooded land","2005","16","Mozambique","14711",""
"3","Other wooded land","2005","40","Myanmar","19908",""
"3","Other wooded land","2005","17","Namibia","8473",""
"3","Other wooded land","2005","5293372","Nauru","0",""
"3","Other wooded land","2005","35","Nepal","1897",""
"3","Other wooded land","2005","192","Martinique","1.1",""
"3","Other wooded land","2005","69","Mauritania","3110",""
"3","Other wooded land","2005","24","Mauritius","12.3",""
"3","Other wooded land","2005","7661379","Mayotte","0.361",""
"3","Other wooded land","2005","176","Mexico","20342",""
"3","Other wooded land","2005","4921994","Micronesia (Federated States of)","0",""
"3","Other wooded land","2005","7655168","Monaco","0",""
"3","Other wooded land","2005","107","Mongolia","2674",""
"3","Other wooded land","2005","23","Madagascar","17053",""
"3","Other wooded land","2005","131","Luxembourg","1.4",""
"3","Other wooded land","2005","83","Malaysia","0",""
"3","Other wooded land","2005","15","Malawi","0",""
"3","Other wooded land","2005","68","Mali","10303",""
"3","Other wooded land","2005","34","Maldives","0",""
"3","Other wooded land","2005","5293301","Marshall Islands","0",""
"3","Other wooded land","2005","139","Malta","0",""
"3","Other wooded land","2005","163","Latvia","118",""
"3","Other wooded land","2005","39","Lao People's Democratic Republic","4493",""
"3","Other wooded land","2005","27","Lesotho","108",""
"3","Other wooded land","2005","94","Lebanon","106",""
"3","Other wooded land","2005","58","Libyan Arab Jamahiriya","330",""
"3","Other wooded land","2005","78","Liberia","0",""
"3","Other wooded land","2005","164","Lithuania","73",""
"3","Other wooded land","2005","138","Liechtenstein","0.5",""
"3","Other wooded land","2005","93","Kuwait","0",""
"3","Other wooded land","2005","162","Kyrgyzstan","312.8",""
"3","Other wooded land","2005","73","Kenya","28710",""
"3","Other wooded land","2005","114","Kiribati","0",""
"3","Other wooded land","2005","92","Jordan","51",""
"3","Other wooded land","2005","161","Kazakhstan","15622",""
"3","Other wooded land","2005","103","Japan","0",""
"3","Other wooded land","2005","643000371","Jersey","0",""
"3","Other wooded land","2005","137","Italy","1708",""
"3","Other wooded land","2005","191","Jamaica","188",""
"3","Other wooded land","2005","7655849","Isle of Man","0",""
"3","Other wooded land","2005","91","Israel","33",""
"3","Other wooded land","2005","90","Iraq","259",""
"3","Other wooded land","2005","136","Ireland","50",""
"3","Other wooded land","2005","82","Indonesia","22206",""
"3","Other wooded land","2005","89","Iran (Islamic Republic of)","5340",""
"3","Other wooded land","2005","33","India","3848",""
"3","Other wooded land","2005","127","Iceland","85.1",""
"3","Other wooded land","2005","149","Hungary","0",""
"3","Other wooded land","2005","175","Honduras","1331",""
"3","Other wooded land","2005","7657948","Holy See","0",""
"3","Other wooded land","2005","190","Haiti","0",""
"3","Other wooded land","2005","210","Guyana","3580",""
"3","Other wooded land","2005","67","Guinea-Bissau","236",""
"3","Other wooded land","2005","77","Guinea","5850",""
"3","Other wooded land","2005","643000370","Guernsey","0",""
"3","Other wooded land","2005","174","Guatemala","1672",""
"3","Other wooded land","2005","113","Guam","0",""
"3","Other wooded land","2005","189","Guadeloupe","2.5",""
"3","Other wooded land","2005","188","Grenada","1.23",""
"3","Other wooded land","2005","4103","Greenland","7.5",""
"3","Other wooded land","2005","135","Greece","2780",""
"3","Other wooded land","2005","160","Georgia","51.25",""
"3","Other wooded land","2005","134","Germany","0",""
"3","Other wooded land","2005","76","Ghana","0",""
"3","Other wooded land","2005","7655146","Gibraltar","0",""
"3","Other wooded land","2005","209","French Guiana","0",""
"3","Other wooded land","2005","112","French Polynesia","0",""
"3","Other wooded land","2005","9","Gabon","0",""
"3","Other wooded land","2005","66","Gambia","107",""
"3","Other wooded land","2005","7653870","Falkland Islands","0",""
"3","Other wooded land","2005","111","Fiji","68.97",""
"3","Other wooded land","2005","125","Finland","1112",""
"3","Other wooded land","2005","133","France","1715",""
"3","Other wooded land","2005","62","Eritrea","7257",""
"3","Other wooded land","2005","159","Estonia","110",""
"3","Other wooded land","2005","60","Ethiopia","44650",""
"3","Other wooded land","2005","642354614","Faeroe Islands","0",""
"3","Other wooded land","2005","53","Egypt","20",""
"3","Other wooded land","2005","208","Ecuador","1448",""
"3","Other wooded land","2005","8","Equatorial Guinea","8",""
"3","Other wooded land","2005","173","El Salvador","204",""
"3","Other wooded land","2005","72","Djibouti","220",""
"3","Other wooded land","2005","132","Denmark","47",""
"3","Other wooded land","2005","187","Dominican Republic","436",""
"3","Other wooded land","2005","186","Dominica","0.28",""
"3","Other wooded land","2005","75","Côte d'Ivoire","2626",""
"3","Other wooded land","2005","148","Czech Republic","0",""
"3","Other wooded land","2005","12","Democratic Republic of the Congo","11513",""
"3","Other wooded land","2005","105","Democratic People's Republic of Korea","0",""
"3","Other wooded land","2005","147","Croatia","484",""
"3","Other wooded land","2005","172","Costa Rica","11",""
"3","Other wooded land","2005","88","Cyprus","213.865",""
"3","Other wooded land","2005","185","Cuba","388",""
"3","Other wooded land","2010","186","Dominica","0.3",""
"3","Other wooded land","2010","72","Djibouti","220",""
"3","Other wooded land","2010","132","Denmark","47",""
"3","Other wooded land","2010","12","Democratic Republic of the Congo","11513",""
"3","Other wooded land","2010","173","El Salvador","204",""
"3","Other wooded land","2010","53","Egypt","20",""
"3","Other wooded land","2010","208","Ecuador","1519",""
"3","Other wooded land","2010","187","Dominican Republic","436",""
"3","Other wooded land","2010","60","Ethiopia","44650",""
"3","Other wooded land","2010","159","Estonia","133",""
"3","Other wooded land","2010","62","Eritrea","7153",""
"3","Other wooded land","2010","8","Equatorial Guinea","8",""
"3","Other wooded land","2010","125","Finland","1112",""
"3","Other wooded land","2010","111","Fiji","77.64",""
"3","Other wooded land","2010","7653870","Falkland Islands","0",""
"3","Other wooded land","2010","642354614","Faeroe Islands","0",""
"3","Other wooded land","2010","65","Chad","8847",""
"3","Other wooded land","2010","216","Chile","14658",""
"3","Other wooded land","2010","184","Cayman Islands","0",""
"3","Other wooded land","2010","6","Central African Republic","10122",""
"3","Other wooded land","2010","22","Comoros","0",""
"3","Other wooded land","2010","7","Congo","10513",""
"3","Other wooded land","2010","102","China","102011.8",""
"3","Other wooded land","2010","207","Colombia","22727",""
"3","Other wooded land","2010","147","Croatia","554",""
"3","Other wooded land","2010","185","Cuba","299",""
"3","Other wooded land","2010","110","Cook Islands","0",""
