"Forest/Other wooded land (code)","Forest/Other wooded land","FRA categories (code)","FRA categories","Year","Country (code)","Country","Value","Flag"
"1","Other wooded land","5","Soil carbon","2010","54","Tunisia","9.3",""
"1","Other wooded land","5","Soil carbon","2010","99","Turkey","352.517",""
"1","Other wooded land","5","Soil carbon","2010","7665808","Turks and Caicos Islands","0",""
"1","Other wooded land","5","Soil carbon","2010","4921972","Tuvalu","0",""
"1","Other wooded land","5","Soil carbon","2010","56","Uganda","219.9",""
"1","Other wooded land","5","Soil carbon","2010","143","United Kingdom","3",""
"1","Other wooded land","5","Soil carbon","2010","19","United Republic of Tanzania","546",""
"1","Other wooded land","5","Soil carbon","2010","4054","Western Sahara","0",""
"1","Other wooded land","5","Soil carbon","2010","101","Yemen","49.21",""
"1","Other wooded land","5","Soil carbon","2010","20","Zambia","285.53",""
"1","Other wooded land","5","Soil carbon","2010","643000374","Svalbard and Jan Mayen Islands","0",""
"1","Other wooded land","5","Soil carbon","2010","74","Sudan","1758",""
"1","Other wooded land","5","Soil carbon","2010","28","South Africa","1547.2",""
"1","Other wooded land","5","Soil carbon","2010","154","Slovenia","2.2",""
"1","Other wooded land","5","Soil carbon","2010","85","Singapore","0",""
"1","Other wooded land","5","Soil carbon","2010","2","Sierra Leone","8.88",""
"1","Other wooded land","5","Soil carbon","2010","97","Saudi Arabia","41.11",""
"1","Other wooded land","5","Soil carbon","2010","7655310","San Marino","0",""
"1","Other wooded land","5","Soil carbon","2010","199","Trinidad and Tobago","3.93",""
"1","Other wooded land","5","Soil carbon","2010","121","Tonga","0",""
"1","Other wooded land","5","Soil carbon","2010","642354615","Tokelau","0",""
"1","Other wooded land","5","Soil carbon","2010","7655420","Timor-Leste","0",""
"1","Other wooded land","5","Soil carbon","2010","167","Tajikistan","3.5",""
"1","Other wooded land","5","Soil carbon","2010","142","Switzerland","6",""
"1","Other wooded land","5","Soil carbon","2010","128","Sweden","329.9",""
"1","Other wooded land","5","Soil carbon","2010","29","Swaziland","8.1",""
"1","Other wooded land","5","Soil carbon","2010","5294032","Palau","0",""
"1","Other wooded land","5","Soil carbon","2010","84","Philippines","658.33",""
"1","Other wooded land","5","Soil carbon","2010","5293394","Northern Mariana Islands","0",""
"1","Other wooded land","5","Soil carbon","2010","6008","Occupied Palestinian Territory","0",""
"1","Other wooded land","5","Soil carbon","2010","116","Niue","0",""
"1","Other wooded land","5","Soil carbon","2010","643000372","Norfolk Island","0",""
"1","Other wooded land","5","Soil carbon","2010","140","Netherlands","0",""
"1","Other wooded land","5","Soil carbon","2010","70","Niger","120",""
