Country,IPCC,SOEF,difference
FR,2.4775e+07,1.6989e+07,45.8%
PT,4.36723e+06,3.43619e+06,27.1%
HR,2.37426e+06,1.922e+06,23.5%
GB,3.58993e+06,3.144e+06,14.2%
LU,96175.6,86750,10.9%
EE,2.43848e+06,2.25209e+06,8.3%
BE,713948,683400,4.5%
AT,4.0405e+06,3.869e+06,4.4%
SK,2.02437e+06,1.94e+06,4.3%
DK,638816,612225,4.3%
BG,3.91038e+06,3.823e+06,2.3%
RO,7.00936e+06,6.861e+06,2.2%
IE,769395,754016,2.0%
LT,2.2083e+06,2.18e+06,1.3%
IT,9.41464e+06,9.297e+06,1.3%
CZ,2.67166e+06,2.66741e+06,0.2%
SE,2.82185e+07,2.8218e+07,0.0%
NL,375744,376000,-0.1%
PL,9.42573e+06,9.435e+06,-0.1%
HU,2.06143e+06,2.06913e+06,-0.4%
FI,2.21268e+07,2.24586e+07,-1.5%
DE,1.11738e+07,1.1419e+07,-2.1%
CY,167776,172851,-2.9%
SI,1.21035e+06,1.248e+06,-3.0%
LV,3.19163e+06,3.356e+06,-4.9%
GR,3.46779e+06,3.903e+06,-11.2%
ES,1.56943e+07,1.84179e+07,-14.8%
