,Gains per hectare,Gains per hectare,Losses per hectare,Losses per hectare,Losses per hectare,Losses per hectare
Source,IPCC,SOEF,FAO,HPFFRE,IPCC,SOEF
Country,,,,,,
AT,2.45287,2.95812,-2.73717,,-1.81102,-3.41181
BE,0.559523,2.24222,-4.59823,-4.22765,-0.000103585,-3.05456
BG,0.886642,,-1.33038,,-0.0162823,
CY,0.236345,0.308395,-0.089289,,-0.110872,-0.264583
CZ,2.89837,,-3.18362,,-2.27182,
DE,1.18347,,,,-0.0169337,
DK,0.641443,3.0405,-3.94193,,-0.111943,-4.65782
EE,0.27036,,-2.40613,-10.8527,-0.00103813,
ES,0.573454,1.05348,-0.823658,,,-0.959161
FI,1.50335,1.35463,-1.1826,-2.6748,-1.09952,-1.41201
FR,1.60571,1.94519,-3.98876,,-1.04125,-1.95379
GB,4.19184,,-1.95526,-3.47231,-3.15802,
GR,0.160467,,,,-0.0104956,
HR,1.731,1.91332,-1.56072,,-0.806932,-1.83497
HU,0.485792,2.39399,-3.02756,,-0.0177013,-3.61511
IE,6.52389,4.16101,-2.59401,,-4.76417,-3.65505
IT,2.50638,1.87849,-1.52305,-2.01079,-1.60939,-1.39871
LT,0.836258,2.85639,-2.46985,,-0.20467,-4.04415
LU,3.13637,,,,-1.69164,
LV,2.80789,2.73203,-2.46504,,-1.98265,-3.3985
NL,2.44548,3.05268,-2.96708,,-1.02819,-2.87015
PL,0.95518,2.8803,-1.93484,,,-3.20209
PT,1.99286,,,,-1.32198,
RO,1.51302,2.34621,-1.84018,-5.02905,-0.638234,-2.60716
SE,0.329863,1.32019,-1.30636,,,-2.0854
SI,1.09368,2.42751,-1.50658,,-0.227786,-1.36364
SK,2.34934,,-2.27205,-3.96895,-1.4744,
